Ticker,Name,Sector,OtherName
UVIX,2x Long VIX Futures ETF,Trading--Leveraged Equity
SPY,SPDR S&P 500 ETF Trust,Large Blend
IVV,iShares Core S&P 500 ETF,Large Blend
VOO,Vanguard S&P 500 ETF,Large Blend
VTI,Vanguard Total Stock Market Index Fund ETF Shares,Large Blend
QQQ,Invesco QQQ Trust,Large Growth
VUG,Vanguard Growth Index Fund ETF Shares,Large Growth
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,Foreign Large Blend
IEFA,iShares Core MSCI EAFE ETF,Foreign Large Blend
VTV,Vanguard Value Index Fund ETF Shares,Large Value
AGG,iShares Core U.S. Aggregate Bond ETF,Intermediate Core Bond
BND,Vanguard Total Bond Market Index Fund,Intermediate Core Bond
IWF,iShares Russell 1000 Growth ETF,Large Growth
IJH,iShares Core S&P Mid-Cap ETF,Mid-Cap Blend
IEMG,iShares Core MSCI Emerging Markets ETF,Diversified Emerging Mkts
VWO,Vanguard Emerging Markets Stock Index Fund,Diversified Emerging Mkts
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,Large Blend
IJR,iShares Core S&P Small-Cap ETF,Small Blend
VGT,Vanguard Information Technology Index Fund ETF Shares,Technology
VXUS,Vanguard Total International Stock Index Fund ETF Shares,Foreign Large Blend
XLK,The Technology Select Sector SPDR Fund,Technology
VO,Vanguard Mid-Cap Index Fund ETF Shares,Mid-Cap Blend
GLD,SPDR Gold Shares,Commodities Focused
IWM,iShares Russell 2000 ETF,Small Blend
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Large Blend
BNDX,Vanguard Total International Bond Index Fund,Global Bond-USD Hedged
IWD,iShares Russell 1000 Value ETF,Large Value
SCHD,Schwab U.S. Dividend Equity ETF,Large Value
RSP,Invesco S&P 500 Equal Weight ETF,Large Blend
VB,Vanguard Small-Cap Index Fund ETF Shares,Small Blend
VYM,Vanguard High Dividend Yield Index Fund ETF Shares,Large Value
IVW,iShares S&P 500 Growth ETF,Large Growth
EFA,iShares MSCI EAFE ETF,Foreign Large Blend
TLT,iShares 20+ Year Treasury Bond ETF,Long Government
QUAL,iShares MSCI USA Quality Factor ETF,Large Blend
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,Corporate Bond
SCHX,Schwab U.S. Large-Cap ETF,Large Blend
SPLG,SPDR Portfolio S&P 500 ETF,Large Blend
XLF,The Financial Select Sector SPDR Fund,Financial
XLV,The Health Care Select Sector SPDR Fund,Health
VEU,Vanguard FTSE All-World ex-US Index Fund ETF Shares,Foreign Large Blend
XLE,The Energy Select Sector SPDR Fund,Equity Energy
SCHF,Schwab International Equity ETF,Foreign Large Blend
VT,Vanguard Total World Stock Index Fund ETF Shares,Global Large-Stock Blend
IXUS,iShares Core MSCI Total International Stock ETF,Foreign Large Blend
MUB,iShares National Muni Bond ETF,Muni National Interm
IWB,iShares Russell 1000 ETF,Large Blend
VV,Vanguard Large Cap Index Fund,Large Blend
IWR,iShares Russell Mid-Cap ETF,Mid-Cap Blend
JEPI,JPMorgan Equity Premium Income ETF,Derivative Income
VCSH,Vanguard Short-Term Corporate Bond Index Fund ETF Shares,Short-Term Bond
IVE,iShares S&P 500 Value ETF,Large Value
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Ultrashort Bond
VTEB,Vanguard Tax-Exempt Bond Index Fund ETF Shares,Muni National Interm
DIA,SPDR Dow Jones Industrial Average ETF Trust,Large Value
BSV,Vanguard Short-Term Bond Index Fund ETF Shares,Short-Term Bond
VNQ,Vanguard Real Estate Index Fund ETF Shares,Real Estate
SCHG,Schwab U.S. Large-Cap Growth ETF,Large Growth
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Corporate Bond
MBB,iShares MBS ETF,Intermediate Government
SCHB,Schwab U.S. Broad Market ETF,Large Blend
QQQM,Invesco NASDAQ 100 ETF,Large Growth
SPYG,SPDR Portfolio S&P 500 Growth ETF,Large Growth
DFAC,Dimensional U.S. Core Equity 2 ETF,Large Blend
VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares,Intermediate Government
IAU,iShares Gold Trust,Commodities Focused
IUSB,iShares Core Total USD Bond Market ETF,Intermediate Core-Plus Bond
IEF,iShares 7-10 Year Treasury Bond ETF,Long Government
VBR,Vanguard Small-Cap Value Index Fund ETF Shares,Small Value
DGRO,iShares Core Dividend Growth ETF,Large Value
GOVT,iShares U.S. Treasury Bond ETF,Intermediate Government
TQQQ,ProShares UltraPro QQQ,Trading--Leveraged Equity
JPST,JPMorgan Ultra-Short Income ETF,Ultrashort Bond
USMV,iShares MSCI USA Min Vol Factor ETF,Large Blend
SHY,iShares 1-3 Year Treasury Bond ETF,Short Government
SGOV,iShares 0-3 Month Treasury Bond ETF,Ultrashort Bond
COWZ,Pacer US Cash Cows 100 ETF,Mid-Cap Value
SMH,VanEck Semiconductor ETF,Technology
MGK,Vanguard Mega Cap Growth Index Fund,Large Growth
SPYV,SPDR Portfolio S&P 500 Value ETF,Large Value
VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,Large Growth
MDY,SPDR S&P MIDCAP 400 ETF Trust,Mid-Cap Blend
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,Short-Term Bond
SPDW,SPDR Portfolio Developed World ex-US ETF,Foreign Large Blend
XLY,The Consumer Discretionary Select Sector SPDR Fund,Consumer Cyclical
VGK,Vanguard FTSE Europe ETF,Europe Stock
SDY,SPDR S&P Dividend ETF,Mid-Cap Value
VGSH,Vanguard Short-Term Treasury Index Fund ETF Shares,Short Government
IYW,iShares U.S. Technology ETF,Technology
IUSG,iShares Core S&P U.S. Growth ETF,Large Growth
XLC,The Communication Services Select Sector SPDR ETF Fund,Communications
SHV,iShares Short Treasury Bond ETF,Ultrashort Bond
EEM,iShares MSCI Emerging Markets ETF,Diversified Emerging Mkts
IBIT,iShares Bitcoin Trust,Digital Assets
ACWI,iShares MSCI ACWI ETF,Global Large-Stock Blend
VXF,Vanguard Extended Market Index Fund ETF Shares,Mid-Cap Blend
XLI,The Industrial Select Sector SPDR Fund,Industrials
DVY,iShares Select Dividend ETF,Large Value
USFR,WisdomTree Floating Rate Treasury Fund,Ultrashort Bond
BIV,Vanguard Intermediate-Term Bond Index Fund,Intermediate Core Bond
TIP,iShares TIPS Bond ETF,Inflation-Protected Bond
GDX,VanEck Gold Miners ETF, 
UX,Roundhill Uranium ETF,
ARKB,ARK 21Shares Bitcoin ETF,Digital Assets,
TSLL,Direxion Daily TSLA Bull 2X,Trading--Leveraged Equity,
NVDL,GraniteShares 2x Long NVDA Daily ETF,Trading--Leveraged Equity,
MSTX,T-Rex 2X Long MSTR Daily Target ETF,Trading--Leveraged Equity,
SQQQ,ProShares UltraPro Short QQQ,Trading--Inverse Equity,
EQQQ,Invesco Nasdaq 100 UCITS,Trading--Leveraged Equity,
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Trading--Miscellaneous,
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Trading--Leveraged Equity,
SVXY,ProShares Short VIX Short-Term Futures ETF,Trading--Inverse Equity,
SPXL,Direxion Daily S&P 500 Bull 3X,Trading--Leveraged Equity,
SPXU,Direxion Daily S&P 500 Bear 3X,Trading--Inverse Equity,
ARKK,ARK Innovation ETF,Technology
ARKG,ARK Genomic Revolution ETF,Biotechnology
ARKW,ARK Web x.0 ETF,Technology
FXI,iShares China Large-Cap ETF,China Stock
JEPQ,JPMorgan Equity Premium Income ETF,Derivative Income
UNG,United States Natural Gas Fund,Energy